SecondsRemaining,CarSteer,CarThrottle,CarRotationX,CarRotationY,CarRotationZ,CarRotationW,CarLinearVelocityX,CarLinearVelocityY,CarLinearVelocityZ,CarAngularVelocityX,CarAngularVelocityY,CarAngularVelocityZ,CarSpeed,CarDodgeActive,CarJumpActive,SpeedFlip
117.0,52.36842105263158,204.42857142857142,0.014384874761538461,0.004475398738461539,0.3243258207692307,0.908680276923077,138611.38461538462,134238.15384615384,447.6923076923077,2019.076923076923,90.92307692307692,-17447.76923076923,132.74517187944463,0,0,0
116.0,160.17391304347825,187.77777777777777,-0.09052695254071429,0.10851017645714287,-0.18174598821428573,0.935764607142857,204418.7142857143,-55173.357142857145,6945.214285714285,-8877.285714285714,14226.142857142857,-1099.357142857143,127.7191978005301,1,1,0
115.0,229.94736842105263,130.9,0.4479733255,-0.245448436375,-0.024819305499999996,0.588554707,216869.58333333334,-46792.416666666664,-7844.75,-31875.333333333332,22430.5,15884.416666666666,134.0964933829387,0,0,0
114.0,11.375,185.6,0.025998781558857147,-0.008748478342857144,0.15937522478571428,0.9263781935714286,92617.42857142857,52558.142857142855,979.5714285714286,2834.785714285714,-706.5,-17065.285714285714,77.24507603622668,0,0,0
113.0,137.0,228.875,0.019023471136666668,-0.0035695710186666664,-0.30257018,0.39698264166666664,15547.333333333334,-130525.58333333333,-874.25,-1126.5,2346.0,-5005.0,79.83157079409203,0,0,0
112.0,82.0,255.0,0.0006833408833333333,0.0015977589,-0.14500962666666664,0.32968231666666664,5622.0,-174277.5,42.0,-0.6666666666666666,0.6666666666666666,-8369.833333333334,108.66857487639668,0,0,0
111.0,136.94444444444446,192.65,-0.004708501335714286,-0.0007448672499999999,0.9822926635714285,-0.160259591,-197061.7857142857,-70490.57142857143,45.142857142857146,1.9285714285714286,-0.5,-4960.214285714285,128.54145933226027,0,0,0
110.0,143.64285714285714,203.23529411764707,-0.004277893846666667,-0.00206458866,0.89470554,-0.42872630066666667,-134846.53333333333,-165990.46666666667,44.13333333333333,-0.3333333333333333,-1.1333333333333333,3131.6666666666665,132.82074885217477,0,0,0
109.0,53.8,219.26666666666668,-0.001071302783333333,0.017142927736666667,0.9203272183333334,0.21291140025,-144682.25,47246.833333333336,4942.583333333333,-3171.1666666666665,3684.3333333333335,-20333.416666666668,118.01444760194003,1,1,0
108.0,79.33333333333333,226.66666666666666,0.068236336,0.3088398,0.7271653,0.6092556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
105.0,167.28571428571428,234.0,0.014549575421818183,-0.008052262536363637,-0.4740356381818182,0.6556502181818181,15392.727272727272,-28917.909090909092,-2452.6363636363635,135.0,938.4545454545455,7685.363636363636,21.177173444772823,0,0,0
104.0,105.76515151515152,208.83636363636364,0.020146657604470455,0.03763573657844773,0.23381285003068183,-0.00036059358750000127,-1872.6363636363637,-152192.10227272726,850.4886363636364,4264.738636363636,-3350.2954545454545,-3529.9545454545455,100.69321715053974,1,1,0
