SecondsRemaining,CarSteer,CarPositionZ,CarRotationX,CarRotationY,CarRotationZ,CarRotationW,CarLinearVelocityX,CarLinearVelocityY,CarLinearVelocityZ,CarAngularVelocityX,CarAngularVelocityY,CarAngularVelocityZ,CarSpeed,CarBoostAmount,CarDodgeActive,CarJumpActive,SpeedFlip
300.0,139.2972972972973,31.47666666666667,0.02072667294236111,0.05888580892812499,0.6095654244166666,0.6066293613194444,16589.61111111111,139833.90277777778,183.97222222222223,11.958333333333334,8330.972222222223,1771.388888888889,105.52865421002922,44.333333333333336,1,1,1
299.0,165.66666666666666,17.01,-0.0006235139846153847,0.00024338829230769227,0.12763055846153845,0.046676034615384616,-43716.61538461538,-156508.61538461538,23.384615384615383,1.3846153846153846,-2.8461538461538463,9794.76923076923,103.84478444649146,98.0,0,0,0
298.0,124.84,66.765,0.4195523802166667,-0.10866330815833332,-0.47041635833333334,0.46797186416666664,14434.166666666666,-218940.33333333334,5864.75,16098.25,-23058.916666666668,-11251.25,132.0343997339117,0.0,1,1,1
297.0,203.66666666666666,39.83416666666667,0.10025424164166667,-0.08593808483333333,0.5729936383333333,-0.5182095375,-696.3333333333334,-222799.83333333334,-7146.0,2215.0,-22949.083333333332,-4907.583333333333,135.24218261612972,64.0,0,0,0
296.0,53.285714285714285,17.01,-0.001970449416666667,-0.0013927566166666667,0.40714207500000005,-0.2925672458333333,-24615.833333333332,-210443.33333333334,27.0,-1.0833333333333333,5.333333333333333,-5202.5,128.35824618194627,76.0,0,0,0
295.0,54.666666666666664,17.01,-0.004605807458333334,1.3486993333333339e-05,0.9612892350000001,0.0038186269166666557,-159456.0,-15892.583333333334,28.0,-0.5833333333333334,-0.3333333333333333,-19931.0,113.17548541675656,88.0,0,0,0
294.0,142.92857142857142,56.685,0.009909835300000001,0.280640072825,0.7291262558333332,0.43146667166666663,-91244.25,190508.5,7499.166666666667,-20174.5,10294.5,-6706.25,127.23112302886778,92.0,1,1,1
293.0,55.0,47.08416666666667,-0.020343400983333336,0.09119695609166667,0.5141422191666667,0.37038745749999996,-103249.41666666667,203655.0,-7660.083333333333,-16667.416666666668,25528.833333333332,-14406.5,137.3698595242523,61.0,0,0,0
292.0,45.75,17.01,-0.003550813523076923,0.003213016284615385,0.7433273046153845,0.6671689392307693,-26329.46153846154,221838.0,26.307692307692307,0.6153846153846154,-5.384615384615385,-2584.3076923076924,134.7130421711073,0.0,0,0,0
291.0,19.666666666666668,17.01,-0.0030777313909090905,0.0036157397454545455,0.6406368827272727,0.754928709090909,26620.090909090908,212435.0909090909,27.0,-0.09090909090909091,-3.8181818181818183,-9689.09090909091,132.4551210049137,100.0,0,0,0
290.0,77.0,17.01,0.0004549611656666667,0.004631882308333334,-0.09141697495000001,0.9672238025,166818.25,-18104.083333333332,25.916666666666668,1.0,-0.8333333333333334,-14703.583333333334,114.55433573146608,0.0,0,0,0
289.0,126.65217391304348,59.88461538461539,0.37975392560769233,0.027191739876923075,-0.2566789653846154,0.6682974034615385,160965.53846153847,-151452.3076923077,5746.153846153846,27192.30769230769,-2371.6153846153848,-6313.2307692307695,133.0827841181706,0.0,1,1,1
288.0,43.625,39.708181818181814,0.045992803509090914,0.032552067394545456,-0.26110204163636364,0.6320164090909091,168153.81818181818,-150459.81818181818,-7746.272727272727,21000.0,-13573.818181818182,-18285.545454545456,136.43718354064032,57.0,0,0,0
287.0,146.25,93.3325,0.005992740858333334,0.006545707613333333,0.5245291716666667,-0.41396248249999995,3242.4166666666665,-205156.66666666666,8939.916666666666,-453.0,23.5,-5039.666666666667,123.94990664261881,0.0,0,1,0
286.0,77.22222222222223,37.5175,0.0267371765,0.026492152475000003,0.7518457425,-0.6543184808333333,-23239.75,-219144.0,-10596.416666666666,567.4166666666666,218.16666666666666,-570.9166666666666,132.8942816624277,75.0,1,0,0
285.0,46.0,17.01,-0.0045347760416666666,-0.0007269488491666666,0.9481093283333334,-0.14953983933333334,-159834.75,-71932.75,28.916666666666668,0.0,-2.1666666666666665,-19783.416666666668,124.06728941387364,0.0,0,0,0
284.0,139.65,46.86833333333334,-0.016848452633333334,0.21124041152500003,0.8178811516666666,0.3886925233333334,-122803.33333333333,175766.16666666666,7510.583333333333,-18754.416666666668,5752.75,-7019.083333333333,129.54098302316729,0.0,1,1,0
283.0,50.666666666666664,52.196666666666665,0.06256594057499999,0.28009820229166665,0.34022193500000003,0.33034173083333335,-111556.16666666667,193168.08333333334,-6932.583333333333,-19307.0,27556.083333333332,-14273.583333333334,135.4408655502012,31.0,0,0,1
282.0,100.0,77.53750000000001,-0.280508008325,0.3561971713,0.3251290066666667,0.3475043075,-13538.166666666666,224823.83333333334,6699.083333333333,-40291.25,7536.25,-3383.5833333333335,135.46325687503486,43.0,1,1,0
281.0,56.666666666666664,30.685000000000002,0.04311807966666667,-0.06567291638333334,0.5408227658333333,0.8085099966666666,56866.166666666664,199970.0,-6806.583333333333,-9857.5,2031.25,-10878.083333333334,133.2574902198772,55.0,0,0,0
280.0,163.76923076923077,63.20583333333334,-0.16515827978366668,0.3215110534166667,0.001375233000000001,0.739370575,209734.16666666666,9092.583333333334,10074.083333333334,-10288.583333333334,25875.25,-2852.1666666666665,127.67766345835672,67.0,1,1,0
279.0,9.0,66.9675,0.12495069957514167,-0.08284909381666668,-0.08765004133333333,0.8122392658333334,219726.58333333334,-12457.583333333334,-10523.666666666666,-12041.583333333334,19491.916666666668,356.5,133.73076294597635,79.0,0,0,0
