SecondsRemaining,CarSteer,CarRotationX,CarRotationY,CarRotationZ,CarRotationW,CarLinearVelocityX,CarLinearVelocityY,CarLinearVelocityZ,CarAngularVelocityX,CarAngularVelocityY,CarAngularVelocityZ,CarSpeed,CarBoostAmount,CarDodgeActive,CarJumpActive,SpeedFlip
63.0,140.33333333333334,-0.004039161121428571,-0.0025937410928571427,0.8396687192857143,-0.5425082007142857,-95301.21428571429,-208835.7857142857,25.0,-0.14285714285714285,1.5,1483.142857142857,137.89363975149874,79.0,0,0,0
62.0,118.69811320754717,0.11340213759996222,0.11658581401090667,0.6161845858222222,0.21035879476666666,51462.35555555556,89482.13333333333,186.12222222222223,7623.233333333334,3913.1222222222223,-5271.277777777777,103.36810047271281,40.5,1,1,0
61.0,138.0,0.053173619150000004,0.02469669332857143,0.4102538864285714,0.6382817550000001,69304.5,213780.2857142857,4473.428571428572,-10264.285714285714,-11505.357142857143,-5236.0,135.59346605860867,12.5,1,1,1
60.0,163.55555555555554,0.3415037433230769,0.14533077405384615,0.3039653656923077,0.6880351143076923,93293.61538461539,191572.3076923077,-4210.384615384615,-19955.076923076922,-22714.615384615383,-1395.3846153846155,132.48543462849221,0.0,0,0,0
59.0,137.10416666666666,0.14422580580072922,0.11207171647331349,0.3486304114235955,0.4824133213258427,34490.68539325843,57232.93258426966,5112.741573033708,4714.7191011235955,11177.730337078652,1781.247191011236,71.46007203642587,48.166666666666664,1,1,0
58.0,82.33333333333333,-0.14087747541607146,-0.0322536882,0.10140291471428572,0.8140629307142857,30748.071428571428,22035.0,-14204.5,18699.35714285714,11512.5,-11381.142857142857,27.64216860484058,9.0,0,0,0
57.0,105.42857142857143,0.0016098563090909091,0.004404851327272728,-0.3385647490909091,0.9249699654545455,59239.181818181816,-51998.63636363636,30.181818181818183,1.5454545454545454,-2.5454545454545454,-11378.90909090909,50.13595529326349,0.0,0,0,0
56.0,107.72727272727273,0.41607799538571427,-0.13412787587857142,-0.3876991885714286,0.37777482142857144,-2916.6428571428573,-167202.64285714287,6553.285714285715,16144.357142857143,-24749.714285714286,-12467.785714285714,100.82551478534405,0.0,1,1,0
55.0,185.0,0.23268172487500002,-0.08520529795,0.018984102499999992,0.131433575,12947.5,-149723.91666666666,-9373.25,4838.25,-23803.916666666668,11819.416666666666,93.33951017510815,12.0,0,0,0
54.0,210.75,-0.0003014861346153846,0.004725219261538461,0.06108115153846154,0.9867635661538461,93695.84615384616,8994.076923076924,28.0,-0.6923076923076923,0.23076923076923078,12677.538461538461,59.219776327736284,0.0,0,0,1
53.0,162.08333333333334,-0.004139164575,0.004735282683333333,0.45769583416666665,0.875812845,60855.25,90466.0,126.66666666666667,549.8333333333334,42.666666666666664,9032.416666666666,68.44804230969186,8.0,0,0,0
52.0,192.1,0.4222503152692308,0.27052206904615383,0.2073213753846154,0.3477306469230769,-16401.53846153846,193949.3076923077,6147.2307692307695,-17728.69230769231,-40852.61538461538,10093.0,117.57159857672362,0.0,1,1,0
51.0,171.33333333333334,0.10063376822857142,0.049876627285714285,0.8682894635714286,0.39699005214285715,-87965.71428571429,166623.85714285713,10654.714285714286,-1495.7857142857142,4824.785714285715,14109.214285714286,117.58794722370546,0.0,0,1,0
50.0,86.5,-0.20504171258333334,0.24051667416666667,0.8715346133333334,-0.06655945458333333,-115036.0,137648.08333333334,-12865.916666666666,9391.333333333334,-14087.916666666666,8659.5,108.39913590368246,0.0,0,0,0
49.0,169.375,-0.014987827276923077,-0.010115075248461539,0.9519994353846154,-0.1353125851846154,-110826.76923076923,-314.0,-4280.923076923077,1342.5384615384614,5946.7692307692305,13627.384615384615,86.1345242704277,12.0,0,0,0
48.0,83.3076923076923,-0.26892685703076924,0.3539889118153846,0.5645836384615385,-0.26858947330769234,-132684.0,-123430.69230769231,5034.2307692307695,-14696.384615384615,-29652.0,-7458.384615384615,110.63507651665805,0.0,1,1,0
47.0,127.6,0.043587439707692306,-0.029711485772307696,0.7916780515384616,-0.31389681692307697,-170137.15384615384,-142733.23076923078,-5959.846153846154,-9355.692307692309,-17844.846153846152,-260.9230769230769,135.11180302388146,8.5,0,0,0
46.0,176.58333333333334,-0.01661708213846154,0.027028645496153844,-0.23160783384615383,0.5029355684615384,17184.53846153846,-168468.46153846153,1553.0,3399.6923076923076,-2105.846153846154,12128.615384615385,110.67807700909762,0.0,0,1,1
45.0,102.5,0.28970681416666666,-0.06023942648333333,-0.28455411833333333,0.5005170683333333,48428.166666666664,-215372.83333333334,-2505.5833333333335,33310.666666666664,-33366.333333333336,-8674.5,132.6894770709137,39.333333333333336,1,0,0
44.0,254.0,-0.0011621669415384614,0.005153904661538462,0.06767403690000001,0.9454198361538462,162431.15384615384,-10283.923076923076,-999.9230769230769,564.1538461538462,-800.7692307692307,23695.384615384617,120.09903265440553,89.0,0,0,0
43.0,199.33333333333334,0.2618283680583333,0.23223607954166667,0.38842295374999997,0.35778379525000004,-51948.75,203822.25,5433.666666666667,797.4166666666666,-38729.583333333336,9181.833333333334,127.90837459674425,83.0,1,1,0
42.0,145.45454545454547,0.07024820414615385,0.04098006368461538,0.8562210707692307,0.47113290230769234,-110018.15384615384,188248.6923076923,-4131.2307692307695,160.3846153846154,-12403.846153846154,1517.3076923076924,134.97365977593148,0.0,0,1,0
41.0,88.84615384615384,0.31101478575,0.317523085125,0.519132056875,0.650070848125,-80782.5625,144226.5,-464.8125,-10358.125,6716.5625,-13095.0,117.45904138218702,0.0,1,0,0
40.0,43.5,0.001751856446153846,0.004916948584615385,-0.3044799540769231,0.9245955430769232,90330.61538461539,-57873.61538461538,-269.0,-412.53846153846155,-1662.4615384615386,-16855.30769230769,74.89305370700268,0.0,0,0,0
39.0,202.0,0.001902495769230769,0.004355053376923077,-0.39220134153846153,0.9126732999999999,91205.23076923077,-98421.69230769231,14.692307692307692,0.5384615384615384,1.0769230769230769,7822.0,82.53127640875219,0.0,0,0,0
38.0,76.84615384615384,0.00046192945764374996,0.00473359678125,-0.10305651351875,0.987383316875,127455.0625,-26762.4375,15.1875,-8.25,1.1875,-3041.125,80.03562717771878,0.0,0,0,0
37.0,112.25,0.0022328232692307693,0.004228897946153846,-0.46461970076923076,0.8828791138461539,72426.30769230769,-103214.76923076923,14.23076923076923,-0.6923076923076923,-1.5384615384615385,-3631.3846153846152,76.20638020578136,0.0,0,0,0
