SecondsRemaining,CarSteer,CarThrottle,CarRotationX,CarRotationY,CarRotationZ,CarRotationW,CarLinearVelocityX,CarLinearVelocityY,CarLinearVelocityZ,CarAngularVelocityX,CarAngularVelocityY,CarAngularVelocityZ,CarSpeed,CarDodgeActive,CarJumpActive,SpeedFlip
300.0,115.75268817204301,177.55102040816325,0.03173700691842105,0.11231486099473684,0.5446233786842105,0.5984148952631579,22603.263157894737,117164.97368421052,40.55263157894737,-10404.052631578947,12815.28947368421,-3642.1315789473683,80.76215518391463,1,1,0
299.0,62.68,220.66666666666666,0.000601519801625,0.004663801508333333,-0.12937446053333332,0.9724503250000001,204346.5,-45041.5,28.0,1.0833333333333333,-1.9166666666666667,-14061.666666666666,134.68598822875495,0,0,0
298.0,79.72222222222223,216.5,0.002393422176923077,0.0032752640230769227,-0.49844245615384614,0.6828299584615384,59744.53846153846,-211034.3076923077,34.92307692307692,-2.076923076923077,4.153846153846154,-7752.7692307692305,133.1273574089083,0,0,0
297.0,126.625,193.1818181818182,-0.00470460505625,0.00925920470625,0.811060791875,-0.5829086525,-69658.5,-218242.4375,1980.5625,-2965.9375,-2252.1875,-3498.5625,137.88246097027857,0,0,0
296.0,100.4,171.34615384615384,0.24289318373333332,0.613668784,0.6579817046666666,-0.3241204326666667,-89563.73333333334,-26020.2,91418.73333333334,-10051.466666666667,-6574.8,-4105.0,83.85456041599997,0,0,0
295.0,94.6,158.22727272727272,-0.08827269958333334,0.6977541241666666,0.6969164533333333,0.08155255166666667,-37774.25,26.583333333333332,-9752.083333333334,0.6666666666666666,-9494.0,-0.5833333333333334,24.593184612753962,0,0,0
294.0,125.8076923076923,190.94736842105263,-0.09088005419999999,0.6980102815384615,0.697212036923077,0.08420044729296154,-46648.846153846156,20.846153846153847,-16739.153846153848,0.7692307692307693,-486.6923076923077,-3.6153846153846154,30.16627825579715,0,0,0
293.0,163.72,208.75,-0.1842541994285714,0.46645561764285715,0.7859812,0.08732281940714286,-99354.5,-4079.285714285714,-64532.5,17691.571428571428,6075.142857142857,10312.92857142857,71.43204405454095,0,0,0
292.0,112.62962962962963,174.06666666666666,0.0023469669230769224,-0.04482367245153846,0.9772691284615385,0.0484070663076923,-82498.46153846153,15490.461538461539,-14902.461538461539,-2863.153846153846,232.53846153846155,-4597.7692307692305,55.74674496463794,0,0,0
291.0,179.95238095238096,231.0,0.19307935781428573,0.3099701164307143,0.8036773771428571,-0.2418419364285714,-71953.78571428571,-11389.5,39305.642857142855,-12410.785714285714,6909.642857142857,11534.214285714286,57.49466676629694,0,0,0
290.0,80.6,223.46666666666667,0.28518578208333334,0.32048043750000005,0.36441377616666665,-0.22473970916666666,-33186.75,45018.0,82395.41666666667,-7083.25,5068.666666666667,32972.416666666664,60.48265711902197,0,1,0
