,PlayerName,SecondsRemaining,CarPositionX,CarPositionY,CarPositionZ,CarRotationX,CarRotationY,CarRotationZ,CarRotationW,CarLinearVelocityX,CarLinearVelocityY,CarLinearVelocityZ,CarAngularVelocityX,CarAngularVelocityY,CarAngularVelocityZ,CarSpeed
494,RLDataCoach,279.0,1164.8,4319.29,108.6,0.2884258,-0.31973732,-0.10004958,0.89697754,223918.0,4955.0,-10742.0,-12211.0,30084.0,9425.0,134.53816110189703
495,RLDataCoach,279.0,1351.4,4323.39,97.15,0.25064048,-0.21396112,-0.0845341,0.9403478,223918.0,4955.0,-16152.0,-8030.0,23007.0,8223.0,134.73268180764455
496,RLDataCoach,279.0,1538.0,4327.49,81.2,0.22428681,-0.1292949,-0.0701407,0.9633579,223918.0,4955.0,-21562.0,-5153.0,17759.0,6814.0,135.00499003177623
497,RLDataCoach,279.0,1724.6,4331.59,60.75,0.20626271,-0.0623668,-0.05788368,0.97479004,223918.0,4955.0,-26972.0,-3241.0,13792.0,5477.0,135.35461629320218
500,RLDataCoach,279.0,1911.21,4335.66,35.83,0.1936281,-0.009287184,-0.047649708,0.9798731,223981.0,4574.0,-31981.0,-3080.0,11916.0,5129.0,135.779342726646
502,RLDataCoach,279.0,2078.91,4336.44,18.07,0.06598131,0.009912939,-0.0442348,0.9967906,223034.0,-3451.0,-12108.0,-50213.0,836.0,-4096.0,134.03344418300978
503,RLDataCoach,279.0,2281.19,4319.32,16.11,-0.0019502189,0.0057481555,-0.10311382,0.994651,217955.0,-33000.0,1460.0,32.0,-335.0,-16736.0,132.2663407863089
504,RLDataCoach,279.0,2458.94,4278.33,16.86,-2.6973983e-06,0.0050630164,-0.17811798,0.9839961,208717.0,-62604.0,436.0,272.0,-158.0,-18956.0,130.74251535120473
506,RLDataCoach,279.0,2610.3,4220.05,17.01,0.0009629712,0.0047716973,-0.2490922,0.96846753,195606.0,-89695.0,84.0,75.0,-61.0,-19627.0,129.1142386962801
676,RLDataCoach,270.0,-3368.3,-357.01,97.59,0.64183795,-0.6365857,0.30035916,0.3042812,-5366.0,229364.0,-1547.0,-54999.0,58.0,87.0,137.65918566503288
678,RLDataCoach,270.0,-3372.35,-185.02,96.42,0.53718287,-0.53244954,0.45990548,0.46520856,-5366.0,229364.0,-1547.0,-54999.0,58.0,87.0,137.65918566503288
679,RLDataCoach,270.0,-3377.75,44.3,93.26,0.38502535,-0.38111952,0.59122074,0.5974625,-5366.0,229364.0,-5875.0,-45293.0,56.0,115.0,137.7011817949287
681,RLDataCoach,270.0,-3381.8,216.29,86.82,0.29124188,-0.28770828,0.64193195,0.64832515,-5366.0,229364.0,-10744.0,-36405.0,65.0,122.0,137.80691534055902
