PlayerName,SecondsRemaining,CarPositionX,CarPositionY,CarPositionZ,CarRotationX,CarRotationY,CarRotationZ,CarRotationW,CarLinearVelocityX,CarLinearVelocityY,CarLinearVelocityZ,CarAngularVelocityX,CarAngularVelocityY,CarAngularVelocityZ,CarSpeed,SpeedFlip
RLDataCoach,300.0,1697.65,-561.96,95.74,-0.5425325,-0.47953722,0.38348246,0.57327455,93817.0,209882.0,-6884.0,14156.0,50805.0,-15601.0,137.99931243611323,1
RLDataCoach,300.0,1775.79,-387.08,87.56,-0.43171754,-0.34010816,0.43547237,0.7129588,93679.0,209703.0,-12195.0,15692.0,52116.0,-7909.0,137.99976688023787,1
RLDataCoach,300.0,1869.43,-177.49,71.9,-0.25662336,-0.17333819,0.48210514,0.81955653,93521.0,209305.0,-18567.0,14808.0,44257.0,-4133.0,137.9993399397258,1
RLDataCoach,300.0,1947.33,-3.19,53.98,-0.14556025,-0.0678641,0.49368778,0.85468066,93366.0,208836.0,-23877.0,8820.0,30033.0,-2899.0,137.9997338880043,1
RLDataCoach,300.0,2017.31,153.3,34.09,-0.07776898,0.0021012733,0.5074176,0.8581812,93247.0,208321.0,-28409.0,5567.0,22339.0,4435.0,137.99962608340647,1
RLDataCoach,300.0,2111.14,361.14,15.78,-0.0006123094,0.005559338,0.5528096,0.83328885,92848.0,208090.0,-1813.0,2686.0,-2789.0,14349.0,136.72298644441614,1
RLDataCoach,300.0,2184.63,536.04,16.53,-0.0022469328,0.0039570834,0.5827994,0.8126033,83007.0,211733.0,899.0,-153.0,-176.0,5483.0,136.45460810848417,1
RLDataCoach,300.0,2248.51,714.21,16.94,-0.0027486489,0.0038383978,0.5940961,0.8043802,72154.0,215236.0,219.0,-34.0,-31.0,2060.0,136.20499996064754,1
RLDataCoach,300.0,2311.19,912.56,17.01,-0.0028619396,0.0038330029,0.5982879,0.801267,66124.0,217053.0,32.0,-6.0,-2.0,601.0,136.1410302415844,1
RLDataCoach,300.0,2359.99,1075.59,17.01,-0.0028673343,0.0038330029,0.5993291,0.8004885,64466.0,217539.0,27.0,-2.0,0.0,207.0,136.13401362686696,1
RLDataCoach,300.0,2413.38,1256.96,17.01,-0.0028673343,0.0038330029,0.59970134,0.80020964,63859.0,217712.0,27.0,-2.0,0.0,61.0,136.13058260155944,1
RLDataCoach,300.0,2466.51,1438.42,17.01,-0.0028673343,0.0038330029,0.5998092,0.8001287,63676.0,217760.0,27.0,-2.0,0.0,17.0,136.1273612092734,1
RLDataCoach,300.0,2519.52,1619.92,17.01,-0.0028673343,0.0038330029,0.59983623,0.8001085,63620.0,217771.0,27.0,-2.0,0.0,3.0,136.12427000796,1
RLDataCoach,300.0,2572.52,1801.42,17.01,-0.0028673343,0.0038330029,0.59983623,0.8001085,63609.0,217771.0,27.0,-2.0,0.0,0.0,136.12241938181967,1
RLDataCoach,300.0,2625.52,1982.92,17.01,-0.0028673343,0.0038330029,0.59983623,0.8001085,63609.0,217771.0,27.0,-2.0,0.0,0.0,136.12241938181967,1
RLDataCoach,300.0,2678.52,2164.42,17.01,-0.0028673343,0.0038330029,0.59983623,0.8001085,63609.0,217771.0,27.0,-2.0,0.0,0.0,136.12241938181967,1
RLDataCoach,300.0,2726.22,2327.77,17.01,-0.0028673343,0.0038330029,0.59983623,0.8001085,63609.0,217771.0,27.0,-2.0,0.0,0.0,136.12241938181967,1
RLDataCoach,300.0,2779.22,2509.27,17.01,-0.0028673343,0.0038330029,0.59983623,0.8001085,63609.0,217771.0,27.0,-2.0,0.0,0.0,136.12241938181967,1
RLDataCoach,300.0,2842.82,2727.07,17.01,-0.0028673343,0.0038330029,0.59983623,0.8001085,63609.0,217771.0,27.0,-2.0,0.0,0.0,136.12241938181967,1
RLDataCoach,300.0,2885.22,2872.27,17.01,-0.0028673343,0.0038330029,0.59983623,0.8001085,63609.0,217771.0,27.0,-2.0,0.0,0.0,136.12241938181967,1
RLDataCoach,300.0,2948.82,3090.07,17.01,-0.0028673343,0.0038330029,0.59983623,0.8001085,63609.0,217771.0,27.0,-2.0,0.0,0.0,136.12241938181967,1
RLDataCoach,300.0,2985.27,3217.27,17.01,-0.0028727292,0.0038330029,0.605873,0.79554695,60991.0,218448.0,27.0,2.0,19.0,5458.0,136.08157606759264,1
RLDataCoach,300.0,3029.98,3400.57,17.01,-0.0030237834,0.0037197121,0.6455465,0.76370597,45677.0,221368.0,28.0,0.0,-3.0,15752.0,135.61882241532697,1
RLDataCoach,300.0,3056.24,3586.15,17.01,-0.0033204972,0.0034661568,0.69948393,0.71463215,18566.0,223328.0,28.0,0.0,-8.0,18474.0,134.4590397877361,1
RLDataCoach,300.0,3056.83,3771.46,17.01,-0.0035902371,0.003164048,0.7540072,0.65684867,-14368.0,220766.0,28.0,0.0,-6.0,19421.0,132.73983617226594,1
RLDataCoach,300.0,3029.19,3952.03,17.01,-0.003854582,0.0028403604,0.8052233,0.59295243,-48519.0,212466.0,28.0,-1.0,0.0,19812.0,130.76131808895167,1
RLDataCoach,300.0,2959.23,4155.7,17.01,-0.004113532,0.002451935,0.86022717,0.5098884,-87586.0,195013.0,28.0,-1.0,-1.0,20013.0,128.26728423740795,1
RLDataCoach,300.0,2901.09,4265.04,17.01,-0.004259192,0.0021983795,0.88856035,0.4587348,-108440.0,181386.0,28.0,0.0,0.0,20072.0,126.79764010737739,1
RLDataCoach,300.0,2798.3,4405.81,17.01,-0.0044210358,0.0018207438,0.92381996,0.3827973,-134910.0,158106.0,28.0,-3.0,0.0,20117.0,124.70508330938237,1
RLDataCoach,300.0,2688.57,4514.49,17.01,-0.0045559057,0.0014808717,0.9500555,0.3120443,-154843.0,133939.0,28.0,-3.0,0.0,20135.0,122.84040058319576,1
RLDataCoach,300.0,2551.24,4612.71,17.01,-0.0046638018,0.0011032359,0.97286683,0.23131622,-172174.0,104343.0,28.0,-2.0,0.0,20137.0,120.79439364159248,1
RLDataCoach,300.0,2371.02,4696.64,17.01,-0.0047447234,0.000650073,0.9911859,0.13239151,-185824.0,66327.0,28.0,0.0,-1.0,20119.0,118.38386312348486,1
