PlayerName,SecondsRemaining,CarPositionX,CarPositionY,CarPositionZ,CarRotationX,CarRotationY,CarRotationZ,CarRotationW,CarLinearVelocityX,CarLinearVelocityY,CarLinearVelocityZ,CarAngularVelocityX,CarAngularVelocityY,CarAngularVelocityZ,CarSpeed
RLDataCoach,300.0,3056.24,3586.15,17.01,-0.0033204972,0.0034661568,0.69948393,0.71463215,18566.0,223328.0,28.0,0.0,-8.0,18474.0,134.4590397877361
RLDataCoach,300.0,3056.83,3771.46,17.01,-0.0035902371,0.003164048,0.7540072,0.65684867,-14368.0,220766.0,28.0,0.0,-6.0,19421.0,132.73983617226594
RLDataCoach,300.0,3029.19,3952.03,17.01,-0.003854582,0.0028403604,0.8052233,0.59295243,-48519.0,212466.0,28.0,-1.0,0.0,19812.0,130.76131808895167
RLDataCoach,300.0,2959.23,4155.7,17.01,-0.004113532,0.002451935,0.86022717,0.5098884,-87586.0,195013.0,28.0,-1.0,-1.0,20013.0,128.26728423740795
RLDataCoach,300.0,2901.09,4265.04,17.01,-0.004259192,0.0021983795,0.88856035,0.4587348,-108440.0,181386.0,28.0,0.0,0.0,20072.0,126.79764010737739
RLDataCoach,300.0,2798.3,4405.81,17.01,-0.0044210358,0.0018207438,0.92381996,0.3827973,-134910.0,158106.0,28.0,-3.0,0.0,20117.0,124.70508330938237
RLDataCoach,300.0,2688.57,4514.49,17.01,-0.0045559057,0.0014808717,0.9500555,0.3120443,-154843.0,133939.0,28.0,-3.0,0.0,20135.0,122.84040058319576
RLDataCoach,300.0,2551.24,4612.71,17.01,-0.0046638018,0.0011032359,0.97286683,0.23131622,-172174.0,104343.0,28.0,-2.0,0.0,20137.0,120.79439364159248
RLDataCoach,300.0,2371.02,4696.64,17.01,-0.0047447234,0.000650073,0.9911859,0.13239151,-185824.0,66327.0,28.0,0.0,-1.0,20119.0,118.38386312348486
RLDataCoach,300.0,2245.2,4731.1,17.01,-0.004787882,0.0003155956,0.9978275,0.06570618,-190472.0,40251.0,28.0,1.0,0.0,20096.0,116.80711264661926
RLDataCoach,300.0,2101.67,4749.05,17.01,-0.004787882,-4.0460975e-05,0.9999431,-0.009535345,-191459.0,10931.0,28.0,1.0,-1.0,20062.0,115.06247451432634
RLDataCoach,300.0,1943.58,4743.57,17.01,-0.0047716973,-0.0004450707,0.99574447,-0.092032865,-187632.0,-20293.0,28.0,13.0,1.0,18478.0,113.23571283177405
RLDataCoach,300.0,1789.54,4716.3,17.01,-0.0047393288,-0.0007525741,0.9906867,-0.13607615,-182662.0,-41269.0,26.0,5.0,0.0,5450.0,112.35957200505882
RLDataCoach,300.0,1653.83,4680.89,17.01,-0.0047393288,-0.0007795481,0.9890838,-0.14727579,-179893.0,-50754.0,26.0,-10.0,0.0,1713.0,112.14939068385524
RLDataCoach,300.0,1505.7,4633.77,17.01,-0.004728539,-0.0008011273,0.98358953,-0.18035682,-175498.0,-62341.0,27.0,-21.0,-6.0,13879.0,111.74498487645877
RLDataCoach,300.0,1363.22,4573.89,17.01,-0.0046584066,-0.0011302099,0.96872133,-0.24810492,-166375.0,-80602.0,28.0,7.0,3.0,18073.0,110.92266032096417
RLDataCoach,298.0,846.1,2797.79,17.01,0.0033258921,0.0034607619,-0.6984643,0.7156288,4600.0,-189690.0,3.0,0.0,-9.0,0.0,113.8474602230546
RLDataCoach,298.0,850.12,2635.93,17.01,0.0033366818,0.0034499725,-0.6976766,0.71639675,5632.0,-197890.0,3.0,0.0,-29.0,2299.0,118.78207672826738
RLDataCoach,298.0,858.52,2484.85,17.01,0.0032827337,0.0034931307,-0.6681993,0.7439669,16887.0,-204126.0,4.0,0.0,-7.0,14905.0,122.89399528845988
RLDataCoach,298.0,879.93,2311.82,43.27,0.004728539,0.005667234,-0.61647385,0.78734076,29051.0,-210986.0,33926.0,3041.0,652.0,14707.0,129.39709988357544
RLDataCoach,298.0,907.9,2113.73,71.23,0.030499566,0.03981107,-0.57844037,0.8141815,31823.0,-220261.0,27526.0,13889.0,4243.0,6379.0,134.54629376300187
RLDataCoach,298.0,906.31,1883.73,88.78,0.32720375,0.107386544,-0.5513098,0.75991005,133.0,-229670.0,12307.0,40297.0,-34609.0,-14259.0,137.99972457102947
RLDataCoach,298.0,907.68,1710.88,93.36,0.53421366,0.028330859,-0.52634805,0.6608864,3271.0,-229976.0,-569.0,30669.0,-39845.0,-22286.0,137.99997884086795
RLDataCoach,298.0,912.26,1518.81,91.19,0.7131245,-0.09234577,-0.47909486,0.5033823,7382.0,-229861.0,-2998.0,27940.0,-39214.0,-26581.0,137.99942771490032
RLDataCoach,298.0,920.36,1327.61,91.4,0.8298431,-0.21841727,-0.41089892,0.3079227,11401.0,-227860.0,6803.0,26402.0,-37584.0,-30254.0,136.9478716723995
RLDataCoach,298.0,930.76,1155.33,92.74,0.8807414,-0.31668925,-0.336499,0.10378282,15711.0,-229455.0,-1792.0,30335.0,-35820.0,-28663.0,137.99953540356577
RLDataCoach,298.0,949.54,925.52,90.1,0.882297,-0.40949088,-0.15890703,-0.16916797,21341.0,-228991.0,-2688.0,15667.0,-46501.0,-24841.0,137.9994022239227
RLDataCoach,298.0,969.53,734.33,88.08,0.82203174,-0.4586161,0.07731578,-0.32856864,25978.0,-228518.0,-2148.0,4939.0,-47984.0,-26421.0,137.99993049389553
RLDataCoach,293.0,-1815.47,-1781.77,86.77,0.29323256,0.9317031,-0.13931847,0.16289377,-104849.0,204695.0,-2508.0,-41466.0,28251.0,-22525.0,137.99953811661834
RLDataCoach,293.0,-1886.63,-1645.45,85.09,0.32464662,0.88049835,-0.33624005,0.07918246,-107687.0,203217.0,-2466.0,-35888.0,33865.0,-24292.0,137.99963506125655
RLDataCoach,293.0,-1978.15,-1476.33,82.95,0.36913228,0.76641923,-0.5167884,-0.0962948,-110707.0,201568.0,-3759.0,-24176.0,37653.0,-31980.0,137.99977637460142
RLDataCoach,293.0,-2071.61,-1308.28,76.55,-0.37848148,-0.6268481,0.63899624,0.23557821,-112354.0,200404.0,-10709.0,-28990.0,39272.0,-25342.0,137.9998267994565
RLDataCoach,293.0,-2156.46,-1157.69,66.01,-0.3531528,-0.47256172,0.73325783,0.33808506,-112858.0,199718.0,-16595.0,-29876.0,41227.0,-20801.0,137.99948049423952
RLDataCoach,293.0,-2250.51,-991.33,49.59,-0.2928118,-0.28036594,0.80815417,0.4272506,-112666.0,199288.0,-22143.0,-29008.0,43217.0,-17769.0,137.9995394979273
RLDataCoach,293.0,-2334.66,-841.95,32.88,-0.17555004,-0.11598585,0.8443033,0.49283,-111995.0,199171.0,-22267.0,-9607.0,52956.0,-11326.0,137.74905865304487
RLDataCoach,293.0,-2417.88,-692.15,18.24,-0.021905655,-0.0044803787,0.846763,0.5315001,-109297.0,200578.0,-13231.0,-1259.0,32502.0,-7690.0,137.28391732260556
RLDataCoach,293.0,-2506.01,-523.63,16.15,0.0008065221,0.006557375,0.833106,0.55307394,-102341.0,203706.0,1152.0,231.0,-1812.0,-5074.0,136.78308029708936
RLDataCoach,293.0,-2586.83,-352.06,16.8,-0.0026569373,0.0036333955,0.82377374,0.5669009,-92423.0,207685.0,452.0,37.0,-592.0,-3204.0,136.3931772666067
RLDataCoach,293.0,-2652.52,-194.94,16.97,-0.003563263,0.0029698354,0.81847477,0.57452375,-84050.0,210800.0,125.0,-3.0,-158.0,-1942.0,136.16306740449113
RLDataCoach,293.0,-2719.45,-18.18,17.01,-0.0038168186,0.0028241759,0.8152245,0.5791255,-77766.0,213030.0,28.0,-4.0,-35.0,-933.0,136.06821700309004
RLDataCoach,289.0,-1049.72,4168.08,17.01,0.0017290323,0.0044749836,-0.35425335,0.9351372,143644.0,-126864.0,3.0,-5.0,5.0,-56.0,114.9874182976555
RLDataCoach,289.0,-939.73,4070.82,17.01,0.0017236375,0.0044749836,-0.35436127,0.9350963,149111.0,-131898.0,3.0,-5.0,5.0,-16.0,119.44547787270977
RLDataCoach,289.0,-812.65,3958.37,17.01,0.0017236375,0.0044749836,-0.35439363,0.93508404,155261.0,-137409.0,3.0,-4.0,4.0,-3.0,124.40014512837193
RLDataCoach,289.0,-625.49,3794.04,17.01,0.0017182427,0.0044749836,-0.34343135,0.93916553,166548.0,-141741.0,3.0,25.0,-21.0,9140.0,131.21870698128373
RLDataCoach,289.0,-524.99,3712.29,34.95,0.0017398219,0.004469589,-0.30715662,0.95164686,176011.0,-139280.0,31932.0,64.0,-55.0,14820.0,136.02734847154815
RLDataCoach,289.0,-390.86,3606.51,59.17,-0.001815349,-0.00715624,-0.24613582,0.9692072,179301.0,-140872.0,30100.0,-1159.0,-1567.0,15739.0,137.9997117192641
RLDataCoach,289.0,-228.69,3445.65,82.22,0.14926651,0.08074156,-0.19556484,0.9658958,149687.0,-173780.0,17153.0,52455.0,16475.0,1402.0,137.9998849277781
RLDataCoach,289.0,-102.0,3301.49,92.61,0.40602738,0.17397477,-0.19299147,0.8761443,153206.0,-171347.0,8238.0,52655.0,-3684.0,-15452.0,137.99965759392302
RLDataCoach,289.0,40.78,3145.65,92.45,0.66359216,0.13422035,-0.21322204,0.704391,157102.0,-167964.0,-2592.0,49763.0,-9036.0,-21608.0,137.99955934364428
RLDataCoach,289.0,173.73,3006.87,90.25,0.8408927,0.0754276,-0.21860608,0.4893072,160700.0,-164524.0,-2663.0,49553.0,-9108.0,-22055.0,137.99964540606615
RLDataCoach,289.0,295.95,2884.47,88.28,0.94227594,0.016705072,-0.20878212,0.26124135,163966.0,-161271.0,-2572.0,49584.0,-9021.0,-22022.0,137.99973884453547
RLDataCoach,289.0,434.6,2751.42,86.18,0.98118365,-0.047816947,-0.18664719,-0.012448535,167500.0,-157598.0,-2471.0,50184.0,-6591.0,-21517.0,137.99932883967224
RLDataCoach,289.0,561.86,2634.24,84.35,0.94674367,-0.09497307,-0.16128077,-0.262002,170515.0,-154332.0,-2437.0,50390.0,-8237.0,-20444.0,137.99957010976516
